mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.7407428741455078,0.21464686834870877,0.2641003131866455,0.027322494864543228,0.85,10000,5,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.5016887329021645,-0.5048390438891504,-0.5577641816247593,-0.5379276943027067,-0.5269072560830939,-0.525825381760375,0.02093192563071721,26,-1.0478149953516006e-05,-9.664571081470209e-06,-8.597284488088409e-06,-8.868753855475455e-06,-1.1254199983108655e-05,-9.772591872331748e-06,9.902437981905586e-07
1.8712803840637207,0.25443396445772887,0.2798305511474609,0.007108471873907015,0.9,10000,3,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.5035878811535008,-0.5058175322663456,-0.5541138058012272,-0.5383654665407812,-0.5327892924932098,-0.526934795651013,0.019466130547299267,27,-1.0930279053151582e-05,-9.909374666918246e-06,-8.309990229432117e-06,-9.441396332461885e-06,-9.33057909060105e-06,-9.584323874512975e-06,8.515860845706345e-07
0.9240998268127442,0.16153355158688007,0.22285761833190917,0.05041886487314219,0.95,50000,1,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5750079113174593,-0.5533915346683559,-0.6278832594061577,-0.5822781903187442,-0.602603748012689,-0.5882329287446812,0.025309887020101934,28,-1.8513178579812657e-05,-1.702260770194033e-05,-1.4405795614238515e-05,-1.7564649786556565e-05,-1.5930323450722804e-05,-1.6687311026654174e-05,1.4138091985106482e-06
0.7391005992889405,0.13157495396646,0.182501220703125,0.026336487631782313,0.95,20000,1,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5750079113174593,-0.5533915346683559,-0.6278832594061577,-0.5822781903187442,-0.602603748012689,-0.5882329287446812,0.025309887020101934,28,-1.8513178579812657e-05,-1.702260770194033e-05,-1.4405795614238515e-05,-1.7564649786556565e-05,-1.5930323450722804e-05,-1.6687311026654174e-05,1.4138091985106482e-06
0.6913675785064697,0.09412979763999842,0.1494436264038086,0.011326443680018538,0.95,10000,1,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5755436061098053,-0.5556745667512583,-0.6299663755314932,-0.5882473952070579,-0.6056863787959295,-0.5910236644791087,0.025410346410890593,30,-1.8632884547499527e-05,-1.8329925509736137e-05,-1.7006158367789405e-05,-1.577746026978532e-05,-1.628929859978335e-05,-1.7207145458918747e-05,1.1153658950204177e-06
0.6166537284851075,0.08190134375545163,0.14303784370422362,0.02181379660100707,0.85,20000,1,"(1, 1)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5760240634489445,-0.5566079195447059,-0.6350807910792476,-0.5859055159097994,-0.6022559940002465,-0.5911748567965888,0.026467747582215102,31,-1.5155705060242655e-05,-1.5916883343156496e-05,-1.7434341175299166e-05,-1.666981566868432e-05,-1.629194456620232e-05,-1.6293737962716995e-05,7.588875591479588e-07
0.7453969478607178,0.09363753974406917,0.19452991485595703,0.04547932273131487,0.85,50000,1,"(1, 1)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5760240634489445,-0.5566079195447059,-0.6350807910792476,-0.5859055159097994,-0.6022559940002465,-0.5911748567965888,0.026467747582215102,31,-1.5155705060242655e-05,-1.5916883343156496e-05,-1.7434341175299166e-05,-1.666981566868432e-05,-1.629194456620232e-05,-1.6293737962716995e-05,7.588875591479588e-07
0.6800149440765381,0.06161159274599362,0.15195164680480958,0.014981787408282665,0.9,20000,1,"(1, 1)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5772653173896604,-0.5559893136896356,-0.6340083048626398,-0.5875225517028675,-0.6120842178403945,-0.5933739410970396,0.027175587781781817,33,-1.7120578695091462e-05,-1.3352283158863185e-05,-1.6686944390549973e-05,-1.769663280481395e-05,-1.8182480315560864e-05,-1.6607783872975887e-05,1.7048619122600002e-06
0.7825926303863525,0.15958134752172334,0.16104626655578613,0.016504258880366305,0.9,50000,1,"(1, 1)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5772653173896604,-0.5559893136896356,-0.6340083048626398,-0.5875225517028675,-0.6120842178403945,-0.5933739410970396,0.027175587781781817,33,-1.7120578695091462e-05,-1.3352283158863185e-05,-1.6686944390549973e-05,-1.769663280481395e-05,-1.8182480315560864e-05,-1.6607783872975887e-05,1.7048619122600002e-06
0.8663370609283447,0.21352867879932916,0.15383553504943848,0.04208967096975216,0.85,10000,1,"(1, 1)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5768494565270682,-0.5600748682253295,-0.638418136085978,-0.5927293140502916,-0.6057221766610349,-0.5947587903099405,0.026661476986397963,35,-1.823061549415087e-05,-1.7284374722661316e-05,-1.7058611843645784e-05,-1.825022315966378e-05,-1.724880386979572e-05,-1.7614525817983492e-05,5.16811423111379e-07
0.7397101402282715,0.11423104815531998,0.1645371437072754,0.023758141288044814,0.9,10000,1,"(1, 1)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",-0.5781766062768549,-0.559221729188979,-0.6371950802542531,-0.5935475946864848,-0.6159024965021065,-0.5968087013817357,0.027445228634600263,36,-1.59356553909084e-05,-1.8393116653612922e-05,-1.601133121481307e-05,-1.9027608968714105e-05,-1.7697651039608115e-05,-1.741307265353132e-05,1.2486664440016107e-06
0.6976171493530273,0.11710644634366318,0.196991491317749,0.11195609811252945,0.95,10000,3,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.5993002457885989,-0.6134575867131818,-0.7009836831509284,-0.6452624607981,-0.6593221520897466,-0.6436652257081111,0.03581577575366308,37,-2.6649633598382878e-05,-2.652921368145613e-05,-2.5377173064103922e-05,-2.407193471311863e-05,-2.4398111728265043e-05,-2.5405213357065317e-05,1.058737961669209e-06
0.8988124847412109,0.16972459544381246,0.22655835151672363,0.049352294634661044,0.95,50000,3,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.5993002457885989,-0.6134575867131818,-0.7009836831509284,-0.6452624607981,-0.6593221520897466,-0.6436652257081111,0.03581577575366308,37,-2.6649633598382878e-05,-2.652921368145613e-05,-2.5377173064103922e-05,-2.407193471311863e-05,-2.4398111728265043e-05,-2.5405213357065317e-05,1.058737961669209e-06
