mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ord__alpha,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.5046113967895507,1.0179356713739711,0.41820569038391114,0.10893102086278038,0.0,0.85,20000,1,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.85, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.24495677233429394,-0.21902017291066284,-0.207492795389049,-0.24566473988439305,-0.2543352601156069,-0.23429394812680115,0.017867483924338675,29,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5.176266145706177,0.08119272216363457,0.33376569747924806,0.052243571656800124,0.001,0.9,10000,3,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.9, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.23919308357348704,-0.21037463976945245,-0.2219020172910663,-0.24566473988439305,-0.2543352601156069,-0.23429394812680115,0.016004023754566925,29,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5.3254444122314455,0.12306517906459627,0.2973853588104248,0.022657771227222654,0.001,0.85,10000,3,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.85, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.2478386167146974,-0.2017291066282421,-0.2276657060518732,-0.2514450867052023,-0.24566473988439305,-0.2348686511968816,0.01849143360381939,31,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5.8437587261199955,1.4117555483503206,0.30385613441467285,0.017368032315056174,0.001,0.95,10000,5,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.2420749279538905,-0.21037463976945245,-0.22478386167146974,-0.2398843930635838,-0.25722543352601157,-0.2348686511968816,0.015991081157088666,31,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
3.9383914470672607,1.108702317947909,0.38427462577819826,0.11071886726097295,0.1,0.9,50000,5,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.24495677233429394,-0.207492795389049,-0.2132564841498559,-0.2514450867052023,-0.25722543352601157,-0.23487531442088255,0.020459213777873946,33,-0.002886002886002886,-0.005772005772005772,-0.004329004329004329,-0.003604902667627974,-0.007209805335255948,-0.004760344197979382,0.0015529052495113637
3.5261770248413087,0.19687380454193637,0.31185193061828614,0.019690215781899823,0.1,0.9,20000,5,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.24495677233429394,-0.207492795389049,-0.2132564841498559,-0.2514450867052023,-0.25722543352601157,-0.23487531442088255,0.020459213777873946,33,-0.002886002886002886,-0.005772005772005772,-0.004329004329004329,-0.003604902667627974,-0.007209805335255948,-0.004760344197979382,0.0015529052495113637
6.495297861099243,2.0991774077426903,0.30238852500915525,0.010358318703459025,0.001,0.9,10000,5,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.9, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.23631123919308358,-0.21902017291066284,-0.22478386167146974,-0.24277456647398843,-0.2543352601156069,-0.2354450200729623,0.012607534712577277,35,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5.652428007125854,0.7326096907113999,0.3495941162109375,0.09177553336156033,0.001,0.95,10000,1,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.23631123919308358,-0.2132564841498559,-0.2276657060518732,-0.24566473988439305,-0.2543352601156069,-0.23544668587896256,0.014246985762834865,36,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2.42481050491333,0.10209746721028047,0.35840983390808107,0.027009245548811293,0.0,0.85,10000,5,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.85, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.25936599423631124,-0.21613832853025935,-0.21613832853025935,-0.24277456647398843,-0.24566473988439305,-0.2360163915310423,0.01717115184445799,37,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4.777539682388306,0.6333225669856565,0.3688612937927246,0.15296772891770147,0.01,0.95,10000,1,"(1, 2)","{'ord__alpha': 0.01, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.2334293948126801,-0.21902017291066284,-0.2276657060518732,-0.2398843930635838,-0.26011560693641617,-0.2360230547550432,0.01386384754966772,38,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
